Speaker	GlobalIndex	StartTime	StopTime	Tokens	NGrams	SelfShared	OtherShared	N	OverlapCount	OverlapSeconds	AvgOverlap	Day	Reality
g	0	0:1:42	0:1:46	10	10	0	0	1	0	0	0	1	9
f	1	0:4:17	0:4:23	5	5	0	1	1	0	0	0	1	9
g	2	0:8:6	0:8:6	6	6	0	0	1	0	0	0	1	9
g	3	0:8:7	0:8:12	17	17	1	4	1	0	0	0	1	9
g	4	0:9:20	0:9:24	1	1	0	0	1	0	0	0	1	9
f	5	0:9:41	0:9:47	1	1	0	0	1	0	0	0	1	9
g	6	0:11:26	0:11:32	8	8	0	0	1	0	0	0	1	9
g	7	0:13:9	0:13:13	6	6	0	0	1	0	0	0	1	9
g	8	0:13:36	0:13:42	9	9	3	0	1	0	0	0	1	9
g	9	0:13:56	0:13:56	1	1	0	0	1	0	0	0	1	9
f	10	0:14:6	0:14:14	1	1	0	0	1	0	0	0	1	9
g	11	0:14:43	0:14:45	5	5	0	0	1	0	0	0	1	9
g	12	0:14:51	0:14:58	2	2	0	0	1	0	0	0	1	9
f	13	0:15:36	0:15:38	1	1	1	0	1	0	0	0	1	9
f	14	0:16:24	0:16:31	2	2	0	0	1	0	0	0	1	9
g	15	0:17:13	0:17:17	10	10	0	0	1	0	0	0	1	9
f	16	0:17:31	0:17:40	1	1	0	0	1	0	0	0	1	9
f	17	0:18:48	0:18:49	5	5	0	1	1	0	0	0	1	9
g	18	0:19:58	0:20:2	3	3	1	0	1	0	0	0	1	9
g	19	0:22:8	0:22:11	9	9	2	0	1	0	0	0	1	9
f	20	0:23:33	0:23:37	2	2	0	0	1	0	0	0	1	9
g	21	0:24:25	0:24:32	14	14	1	0	1	0	0	0	1	9
f	22	0:24:52	0:24:53	1	1	0	0	1	0	0	0	1	9
g	23	0:25:30	0:25:31	4	4	1	0	1	0	0	0	1	9
g	24	0:26:11	0:26:20	6	6	0	0	1	0	0	0	1	9
g	25	0:26:38	0:26:45	2	2	0	0	1	0	0	0	1	9
g	26	0:27:18	0:27:20	7	7	0	0	1	0	0	0	1	9
g	27	0:27:52	0:27:52	4	4	1	0	1	0	0	0	1	9
g	28	0:29:24	0:29:33	1	1	0	1	1	0	0	0	1	9
f	29	0:29:44	0:29:47	7	7	0	0	1	0	0	0	1	9
f	30	0:32:25	0:32:30	1	1	0	1	1	0	0	0	1	9
g	31	0:33:3	0:33:11	15	15	0	0	1	0	0	0	1	9
g	32	0:33:17	0:33:20	1	1	0	1	1	0	0	0	1	9
f	33	0:33:39	0:33:44	1	1	1	1	1	0	0	0	1	9
g	34	0:34:58	0:35:7	4	4	0	0	1	0	0	0	1	9
f	35	0:36:59	0:37:8	1	1	0	0	1	0	0	0	1	9
f	36	0:37:31	0:37:33	5	5	0	3	1	0	0	0	1	9
f	37	0:38:42	0:38:45	1	1	0	0	1	0	0	0	1	9
f	38	0:40:43	0:40:44	1	1	0	0	1	0	0	0	1	9
g	39	0:40:45	0:40:45	7	7	3	1	1	0	0	0	1	9
g	40	0:42:12	0:42:19	1	1	0	0	1	0	0	0	1	9
f	41	0:42:40	0:42:44	10	10	0	0	1	0	0	0	1	9
f	42	0:43:2	0:43:11	1	1	0	0	1	0	0	0	1	9
f	43	0:43:23	0:43:24	1	1	0	0	1	0	0	0	1	9
g	44	0:43:59	0:43:59	5	5	0	0	1	0	0	0	1	9
g	45	0:44:32	0:44:40	1	1	0	0	1	0	0	0	1	9
g	46	0:45:33	0:45:41	6	6	0	0	1	0	0	0	1	9
g	47	0:46:32	0:46:36	15	15	0	0	1	0	0	0	1	9
f	48	0:46:36	0:46:45	1	1	0	0	1	1	0	0	1	9
g	49	0:46:54	0:46:57	7	7	0	0	1	0	0	0	1	9
g	50	0:55:27	0:55:30	1	1	0	0	1	0	0	0	1	9
g	51	0:56:20	0:56:28	5	5	0	0	1	0	0	0	1	9
g	52	0:56:46	0:56:48	3	3	0	0	1	0	0	0	1	9
f	53	0:56:48	0:56:51	6	6	0	1	1	1	0	0	1	9
f	54	0:58:8	0:58:12	1	1	0	0	1	0	0	0	1	9
g	55	0:59:56	0:59:57	8	8	1	0	1	0	0	0	1	9
g	56	1:0:34	1:0:38	5	5	0	0	1	0	0	0	1	9
f	57	1:1:15	1:1:15	1	1	0	0	1	0	0	0	1	9
f	58	1:1:11	1:1:19	15	15	1	0	1	0	0	0	1	9
g	59	1:2:45	1:2:46	3	3	1	1	1	0	0	0	1	9
g	60	1:2:43	1:2:51	3	3	0	2	1	0	0	0	1	9
f	61	1:2:56	1:2:56	1	1	0	0	1	0	0	0	1	9
f	62	1:5:31	1:5:31	1	1	1	0	1	0	0	0	1	9
g	63	1:5:41	1:5:44	4	4	1	0	1	0	0	0	1	9
g	64	1:5:53	1:6:0	11	11	3	0	1	0	0	0	1	9
f	65	1:6:36	1:6:37	5	5	1	2	1	0	0	0	1	9
g	66	1:7:56	1:8:5	9	9	4	1	1	0	0	0	1	9
f	67	1:10:0	1:10:0	5	5	0	0	1	0	0	0	1	9
f	69	1:11:23	1:11:31	3	3	1	0	1	0	0	0	1	9
g	68	1:11:28	1:11:29	2	2	1	0	1	1	3	3	1	9
g	70	1:12:24	1:12:29	3	3	0	0	1	0	0	0	1	9
g	71	1:12:39	1:12:48	4	4	0	0	1	0	0	0	1	9
g	72	1:14:9	1:14:16	1	1	0	1	1	0	0	0	1	9
g	73	1:15:15	1:15:19	10	10	0	0	1	0	0	0	1	9
g	74	1:15:34	1:15:39	1	1	0	0	1	0	0	0	1	9
f	75	1:16:6	1:16:10	9	9	0	0	1	0	0	0	1	9
f	76	1:16:24	1:16:26	1	1	0	0	1	0	0	0	1	9
g	77	1:17:58	1:18:6	13	13	1	0	1	0	0	0	1	9
g	78	1:21:56	1:22:3	16	16	0	0	1	0	0	0	1	9
g	79	1:22:29	1:22:29	1	1	0	0	1	0	0	0	1	9
g	80	1:22:45	1:22:48	1	1	1	0	1	0	0	0	1	9
g	81	1:23:4	1:23:13	1	1	0	0	1	0	0	0	1	9
f	82	1:25:3	1:25:6	1	1	0	0	1	0	0	0	1	9
g	83	1:25:44	1:25:48	6	6	0	1	1	0	0	0	1	9
g	84	1:27:22	1:27:23	10	10	0	0	1	0	0	0	1	9
g	85	1:29:7	1:29:9	12	12	1	1	1	0	0	0	1	9
g	86	1:29:28	1:29:28	6	6	1	0	1	0	0	0	1	9
g	87	1:30:30	1:30:35	3	3	0	0	1	0	0	0	1	9
f	88	1:30:45	1:30:49	1	1	0	0	1	0	0	0	1	9
g	89	1:31:16	1:31:16	4	4	0	0	1	0	0	0	1	9
f	90	1:31:28	1:31:37	1	1	0	1	1	0	0	0	1	9
g	91	1:35:12	1:35:19	1	1	0	0	1	0	0	0	1	9
f	92	1:35:20	1:35:26	3	3	0	0	1	0	0	0	1	9
g	93	1:36:32	1:36:33	4	4	0	0	1	0	0	0	1	9
f	94	1:38:7	1:38:15	7	7	1	1	1	0	0	0	1	9
f	95	1:38:14	1:38:23	1	1	0	0	1	0	0	0	1	9
