Speaker	GlobalIndex	StartTime	StopTime	Tokens	NGrams	SelfShared	OtherShared	N	OverlapCount	OverlapSeconds	AvgOverlap	Day	Reality
g	34	0:40:30	0:40:39	4	0	0	0	5	0	0	0	1	7
f	35	0:45:32	0:45:37	1	0	0	0	5	0	0	0	1	7
f	36	0:46:34	0:46:40	1	0	0	0	5	0	0	0	1	7
g	37	0:47:23	0:47:29	16	12	0	0	5	0	0	0	1	7
g	38	0:47:58	0:48:6	5	1	0	0	5	0	0	0	1	7
f	39	0:49:10	0:49:10	1	0	0	0	5	0	0	0	1	7
g	40	0:50:20	0:50:24	4	0	0	0	5	0	0	0	1	7
g	41	0:51:46	0:51:49	1	0	0	0	5	0	0	0	1	7
g	42	0:54:12	0:54:17	4	0	0	0	5	0	0	0	1	7
g	43	0:54:59	0:55:2	1	0	0	0	5	0	0	0	1	7
g	44	0:55:51	0:55:57	6	2	0	0	5	0	0	0	1	7
g	45	0:57:14	0:57:19	2	0	0	0	5	0	0	0	1	7
g	46	0:57:57	0:58:2	8	4	0	0	5	0	0	0	1	7
f	47	0:58:46	0:58:48	5	1	0	0	5	0	0	0	1	7
f	48	0:59:48	0:59:57	1	0	0	0	5	0	0	0	1	7
g	49	1:2:5	1:2:6	2	0	0	0	5	0	0	0	1	7
g	50	1:2:4	1:2:13	4	0	0	0	5	0	0	0	1	7
f	51	1:2:56	1:3:1	2	0	0	0	5	0	0	0	1	7
f	52	1:3:40	1:3:48	15	11	0	0	5	0	0	0	1	7
g	53	1:5:26	1:5:34	6	2	0	0	5	0	0	0	1	7
f	54	1:14:42	1:14:49	5	1	0	0	5	0	0	0	1	7
g	55	1:14:49	1:14:58	4	0	0	0	5	1	0	0	1	7
g	56	1:16:18	1:16:26	3	0	0	0	5	0	0	0	1	7
f	57	1:17:33	1:17:40	5	1	0	0	5	0	0	0	1	7
f	58	1:19:11	1:19:18	5	1	0	0	5	0	0	0	1	7
f	59	1:19:15	1:19:18	1	0	0	0	5	0	0	0	1	7
g	60	1:22:12	1:22:17	5	1	0	0	5	0	0	0	1	7
f	61	1:22:31	1:22:40	1	0	0	0	5	0	0	0	1	7
f	62	1:22:54	1:22:55	17	13	0	0	5	0	0	0	1	7
f	63	1:23:16	1:23:23	1	0	0	0	5	0	0	0	1	7
g	64	1:24:41	1:24:49	1	0	0	0	5	0	0	0	1	7
g	65	1:26:4	1:26:7	11	7	0	0	5	0	0	0	1	7
f	66	1:27:19	1:27:25	1	0	0	0	5	0	0	0	1	7
g	67	1:28:52	1:29:0	9	5	0	0	5	0	0	0	1	7
g	68	1:29:28	1:29:33	3	0	0	0	5	0	0	0	1	7
g	69	1:30:43	1:30:47	3	0	0	0	5	0	0	0	1	7
g	70	1:31:56	1:31:56	1	0	0	0	5	0	0	0	1	7
g	71	1:32:44	1:32:52	11	7	0	0	5	0	0	0	1	7
f	72	1:38:11	1:38:13	1	0	0	0	5	0	0	0	1	7
g	73	1:38:38	1:38:39	1	0	0	0	5	0	0	0	1	7
f	74	1:38:40	1:38:40	1	0	0	0	5	0	0	0	1	7
g	75	1:38:48	1:38:48	1	0	0	0	5	0	0	0	1	7
f	76	1:39:13	1:39:21	10	6	0	0	5	0	0	0	1	7
g	77	1:41:19	1:41:24	6	2	0	0	5	0	0	0	1	7
g	78	1:41:54	1:41:59	3	0	0	0	5	0	0	0	1	7
f	79	1:42:20	1:42:20	2	0	0	0	5	0	0	0	1	7
f	80	1:43:29	1:43:31	7	3	0	0	5	0	0	0	1	7
g	81	1:44:1	1:44:8	5	1	0	0	5	0	0	0	1	7
f	82	1:46:47	1:46:49	1	0	0	0	5	0	0	0	1	7
f	85	1:46:50	1:46:58	2	0	0	0	5	0	0	0	1	7
g	83	1:46:51	1:46:57	1	0	0	0	5	1	7	7	1	7
g	84	1:46:56	1:46:57	2	0	0	0	5	1	2	2	1	7
g	86	1:50:24	1:50:28	1	0	0	0	5	0	0	0	1	7
f	87	1:55:20	1:55:25	1	0	0	0	5	0	0	0	1	7
f	88	1:59:28	1:59:31	11	7	0	0	5	0	0	0	1	7
g	89	2:0:0	2:0:7	5	1	0	0	5	0	0	0	1	7
f	90	2:0:54	2:0:57	4	0	0	0	5	0	0	0	1	7
g	91	2:1:18	2:1:26	5	1	0	0	5	0	0	0	1	7
f	92	2:1:46	2:1:55	10	6	0	0	5	0	0	0	1	7
f	93	2:2:25	2:2:27	1	0	0	0	5	0	0	0	1	7
g	94	2:3:16	2:3:19	6	2	0	0	5	0	0	0	1	7
f	95	2:3:39	2:3:45	1	0	0	0	5	0	0	0	1	7
g	96	2:4:53	2:4:53	11	7	0	0	5	0	0	0	1	7
f	97	2:5:6	2:5:12	3	0	0	0	5	0	0	0	1	7
g	98	2:5:16	2:5:25	8	4	0	0	5	0	0	0	1	7
