Global Index,Reality,EyeCon,Familiar,DevScore,OS,SS
0,0,false,true,204,0.18436687894666656,0.2569956292533334
1,0,true,true,40,0.22933200941958035,0.2293235752910345
2,0,true,true,53,0.2662773826696863,0.24294734168989554
3,0,false,true,35,0.27360673254945056,0.32710844960439556
4,0,false,true,34,0.2524397893847681,0.2416624392079472
5,0,true,true,18,0.24101740821333337,0.2654017924095239
6,0,true,true,69,0.2603513528421643,0.28310313876156684
7,0,false,false,51,0.22628052055324693,0.22628673683006548
8,0,false,false,90,0.23670276321637437,0.226566305068421
9,0,true,false,44,0.23674390400279202,0.22535065113088595
10,0,true,false,104,0.22697531356277897,0.22251940283059707
11,0,false,false,41,0.21736936115714295,0.21453480068452685
12,0,false,false,99,0.22451075856914904,0.24167177170962556
13,0,true,false,20,0.2035082242195122,0.25936513380304904
14,0,true,false,19,0.24215415297899143,0.24600976887368434
15,0,false,true,105,0.21444745606332036,0.2417272582980768
16,0,false,true,114,0.2797777143537572,0.24747115911428588
17,0,true,true,56,0.2144025545038168,0.2486999320833333
18,0,true,true,45,0.21658817984848497,0.22437352412085862
19,0,false,true,139,0.2354181134039682,0.23278753399603164
20,0,false,true,99,0.2245723613792453,0.2124094228227488
21,0,true,true,55,0.24872668037037032,0.25975495929378906
22,0,true,true,42,0.24841089076325296,0.23062590738323346
23,0,false,false,74,0.2253233748144443,0.17669090181215463
24,0,false,false,83,0.22553328682758625,0.1868930469735632
25,0,true,false,75,0.2167488854563636,0.23743946163905122
26,0,true,false,45,0.23248387051192443,0.24802906960347001
27,0,false,false,21,0.20913207082947985,0.24078585176395353
28,0,false,false,37,0.17062052485820886,0.25166246677000015
29,0,true,false,28,0.23142653124038468,0.24438398312692305
30,0,true,false,20,0.20747291895854697,0.21995177050213674
31,0,false,true,64,0.2715946768138076,0.2317371106033611
32,0,false,true,201,0.2520576879162995,0.22957544478502193
33,0,true,true,29,0.21742800592045447,0.28829439640229887
34,0,true,true,90,0.22528027938333345,0.2052985928938548
35,0,false,true,17,0.2374124872483659,0.22041056479342122
36,0,false,true,65,0.25113642995309726,0.22265081455132757
37,0,true,true,108,0.19872641735569618,0.2457207391974359
38,0,true,true,28,0.1820717932231482,0.23662285868055563
39,0,false,false,83,0.27960650560150396,0.22848668741353378
40,0,false,false,56,0.2935443402449153,0.22791174453305083
41,0,true,false,161,0.20611851321508362,0.2802115094088396
42,0,true,false,108,0.2139283793333332,0.2869302891618302
43,0,false,false,178,0.22899225807361953,0.18831050215092024
44,0,false,false,52,0.22590483756557383,0.2510025636196722
45,0,true,false,52,0.20625881661399995,0.25538750478989913
46,0,true,false,145,0.18485960594329895,0.2301152869072165
47,0,false,true,157,0.23132282988118513,0.2531983502814814
48,0,false,true,56,0.2778537481371428,0.29608295798571427
49,0,true,true,104,0.2528092831266666,0.23539975349573472
50,0,true,true,35,0.23847018940088113,0.23536096814317184
51,0,false,true,34,0.2292706664371428,0.2601635758965518
52,0,false,true,26,0.24817641073480678,0.22040071122519342
53,0,true,true,48,0.20623375387218187,0.23674405803818185
54,0,true,true,53,0.23272211558616074,0.2133205310357142
55,0,false,false,25,0.26178875301445786,0.2487033411506024
56,0,false,false,112,0.27988914994140623,0.23724697619355478
57,0,true,false,54,0.24807492944684664,0.2583346577511203
58,0,true,false,76,0.2443640304765993,0.23058572647435868
59,0,false,false,40,0.27165356676926716,0.24081071445805677
60,0,false,false,62,0.23946485638352946,0.24025495853364712
61,0,true,false,47,0.2591116623637232,0.23981967536941332
62,0,true,false,49,0.24083268790632595,0.27890957262780497
63,0,true,true,135,0.2821086892394365,0.23146764300915515
64,0,true,true,227,0.25277916176736115,0.23133704830313617
65,0,false,true,74,0.19799389904455955,0.24554336316979167
66,0,false,true,152,0.21074877801517236,0.2904741884444444
67,0,true,true,105,0.2778960974011627,0.22134958143023242
68,0,true,true,53,0.2584079268792857,0.23548692051071438
69,0,false,true,104,0.2506856204387096,0.2753636958322532
70,0,false,true,85,0.21577162379795922,0.3323776777532192
71,0,true,false,120,0.23994762248580254,0.22558566249130446
72,0,true,false,97,0.27255706116580086,0.2523925316017316
73,0,false,false,105,0.2553069345991189,0.20975007051666664
74,0,false,false,142,0.2133419217685186,0.2540580252962964
75,0,true,false,66,0.25842296530346004,0.22101559041176458
76,0,true,false,89,0.2431454638285715,0.22859495304500013
77,0,false,false,28,0.2757998840594592,0.24109218884677416
78,0,false,false,58,0.24021194040645152,0.20669834082451607
79,0,true,true,140,0.2018333996859504,0.27962487612809916
80,0,true,true,191,0.2210491395337986,0.2164948075529458
81,0,false,true,28,0.2497556015198648,0.21018392153291202
82,0,false,true,154,0.19424299495097092,0.21733960655825255
83,0,true,true,20,0.2638173168513514,0.27546965425170084
84,0,true,true,89,0.2206240924427083,0.24203186113541655
85,0,false,true,57,0.29679144025781257,0.27570013675781246
86,0,false,true,37,0.21840181595918373,0.22396798638933332
87,0,true,false,204,0.20118808686312492,0.2049559012037267
88,0,true,false,117,0.27160619076576575,0.24065542969819814
89,0,false,false,11,0.2679824114128333,0.2322932907907991
90,0,false,false,73,0.2741601669648241,0.2092645275525252
91,0,true,false,26,0.2345226494186992,0.29298184067479677
92,0,true,false,49,0.2656108268672986,0.22448204376190473
93,0,false,false,43,0.24993185027724563,0.2194104409580242
94,0,false,false,30,0.2697737995093137,0.25123456287254897
95,0,true,true,146,0.21339178675942858,0.26016938730285727
96,0,true,true,187,0.27612319864550255,0.2390162229603176
97,0,false,true,66,0.2789122338088736,0.2240301249051195
98,0,false,true,4,0.242997657970652,0.23859220293442623
99,0,true,true,28,0.19278404186514622,0.21052278661228058
100,0,true,true,38,0.17823110475806447,0.24969647484552843
101,0,false,true,154,0.21766619325174297,0.23046547490972485
102,0,false,true,102,0.2227909093810219,0.18624823606594199
103,0,true,false,38,0.2523749957176472,0.23912224859693418
104,0,true,false,81,0.24381331048277505,0.22977593041626784
105,0,false,false,97,0.2167312681742628,0.23203551882069898
106,0,false,false,35,0.1543247507821918,0.2983838258972602
107,0,true,false,60,0.266554663772811,0.21164810453410124
108,0,true,false,32,0.24178430808506793,0.18851188161095012
109,0,false,false,54,0.21757086667961165,0.3091762954215685
110,0,false,false,67,0.2442610144129212,0.2328824885084746
111,0,true,true,86,0.21214010879818188,0.24611105079357798
112,0,true,true,7,0.2714730704679876,0.2350977394577642
113,0,false,true,27,0.2522108621059569,0.22651329901428585
114,0,false,true,57,0.2537846800156251,0.2573566795421468
115,0,true,true,24,0.24968480078641134,0.23429717072822306
116,0,true,true,7,0.2614416561097344,0.25049064505265467
117,0,false,true,27,0.23060212927185772,0.20481340175698626
118,0,false,true,38,0.25234802973239445,0.2382386242587413
119,0,true,false,37,0.214115598162406,0.22534495803007515
120,0,true,false,135,0.226387217311111,0.2405000257709498
121,0,false,false,11,0.12888252185000001,0.3323169301475001
122,0,false,false,54,0.21353211533057861,0.22430454050909104
123,0,true,false,25,0.23008949877727294,0.22168573097045172
124,0,true,false,47,0.21546907866242043,0.22918149786178363
125,0,false,false,43,0.23541596143119264,0.20703425869724779
126,0,false,false,19,0.23668899979518712,0.2482894905299467
127,1,false,true,78,0.23561249228826533,0.20739167171724918
0,1,false,true,204,0.18748818873684214,0.32308644078666654
1,1,true,true,40,0.2113381311712329,0.21929135384344833
2,1,true,true,53,0.22281354293867592,0.21252836547386755
3,1,false,true,35,0.2139279727500001,0.30285392501868136
4,1,false,true,34,0.21166564611973684,0.22277765109072856
5,1,true,true,18,0.24574863207766998,0.3291001353714285
6,1,true,true,69,0.2434756865604496,0.24713359774458954
7,1,false,false,51,0.22344281382402603,0.2334343077958825
8,1,false,false,90,0.20697915867663752,0.21108819997017536
9,1,true,false,44,0.20588060219772739,0.20997586398481002
10,1,true,false,104,0.21240730126798987,0.2168834615708955
11,1,false,false,41,0.21705247846893222,0.2641069249108483
12,1,false,false,99,0.21484204292021267,0.24763566609090923
13,1,true,false,20,0.19503274827439027,0.24273036580487783
14,1,true,false,19,0.2021606572441177,0.2184830920138946
15,1,false,true,105,0.2097728632826923,0.243693940625
16,1,false,true,114,0.21533622144885065,0.22857060472000013
17,1,true,true,56,0.19945195449323316,0.2440795031378788
18,1,true,true,45,0.21092818330685273,0.23101338022727264
19,1,false,true,139,0.22020233734359992,0.21956327236111106
20,1,false,true,99,0.24651929858846156,0.25462765923744074
21,1,true,true,55,0.20442119141358014,0.24462939734161498
22,1,true,true,42,0.21546533520783123,0.2398190690538922
23,1,false,false,74,0.19123245687802193,0.19570532419060774
24,1,false,false,83,0.1900524149418605,0.20854281873218392
25,1,true,false,75,0.20718427039781823,0.2450883402664234
26,1,true,false,45,0.1923968676876971,0.22709202310410087
27,1,false,false,21,0.18998012758546515,0.21655589420465116
28,1,false,false,37,0.1721476731079602,0.28175258599999997
29,1,true,false,28,0.16716322603428568,0.23757081224038468
30,1,true,false,20,0.20848172293448275,0.21543367808504285
31,1,false,true,64,0.2432852523395743,0.2510923696718486
32,1,false,true,201,0.20295516967324556,0.20121271228634355
33,1,true,true,29,0.17314441943750003,0.29707236356321826
34,1,true,true,90,0.1918203785061111,0.19329678876703899
35,1,false,true,17,0.2202108100215686,0.2286366905921054
36,1,false,true,65,0.22577691789380527,0.2350108796460178
37,1,true,true,108,0.19166628193717947,0.289584923397436
38,1,true,true,28,0.1797374816666973,0.2277006907301852
39,1,false,false,83,0.24449701848872182,0.22566967426315795
40,1,false,false,56,0.21169626226050425,0.21753444159127117
41,1,true,false,161,0.19616943900549452,0.2312844264379557
42,1,true,false,108,0.17947790265751623,0.25452244649281053
43,1,false,false,178,0.19868172102439022,0.22133310366257655
44,1,false,false,52,0.2360869229593497,0.24597519884344268
45,1,true,false,52,0.2081026885288661,0.294106718530303
46,1,true,false,145,0.20231790712448983,0.23811907125773193
47,1,false,true,157,0.23403312927555553,0.23656576359955556
48,1,false,true,56,0.23344653839436633,0.2459334493
49,1,true,true,104,0.19313534450947878,0.24597093109668247
50,1,true,true,35,0.20299912526359656,0.20943925231541863
51,1,false,true,34,0.1746433624142857,0.2422495946845977
52,1,false,true,26,0.20858559453252878,0.22543649656519327
53,1,true,true,48,0.2063533429463638,0.23056299174545458
54,1,true,true,53,0.1805006899284445,0.2209716334687501
55,1,false,false,25,0.23157670304638558,0.26342508427108424
56,1,false,false,112,0.21287349179880943,0.23642008636640616
57,1,true,false,54,0.1926106524166665,0.22662892519009026
58,1,true,false,76,0.2107488031738575,0.2203818716344322
59,1,false,false,40,0.21412740215296916,0.21573509988578207
60,1,false,false,62,0.21782020499099544,0.22314835855529422
61,1,true,false,47,0.21272927724799978,0.24318713290560007
62,1,true,false,49,0.21952723675498795,0.2657531625860973
63,1,true,true,135,0.213077725885461,0.2236235360200705
64,1,true,true,227,0.21355152053993065,0.24549097404878048
65,1,false,true,74,0.20108978027083338,0.2688534269078126
66,1,false,true,152,0.20560201153793103,0.2711611778194444
67,1,true,true,105,0.20935725381035097,0.2194965496395348
68,1,true,true,53,0.1772111370496454,0.1965610796878571
69,1,false,true,104,0.24917802905551942,0.25433908704545455
70,1,false,true,85,0.20516404889583337,0.36041115312287675
71,1,true,false,120,0.21788283094567898,0.2460836345614908
72,1,true,false,97,0.20130474014692978,0.22989679501483135
73,1,false,false,105,0.2196405296563318,0.21979334322719302
74,1,false,false,142,0.17561164634951462,0.31359707516666663
75,1,true,false,66,0.20740858598862075,0.24035018836505181
76,1,true,false,89,0.20053857573455894,0.24304878607335725
77,1,false,false,28,0.23392150990909105,0.23654341441236562
78,1,false,false,58,0.22343816669867542,0.20578802281612904
79,1,true,true,140,0.21846992493852452,0.3198815796074382
80,1,true,true,191,0.206263461098062,0.21234459787209312
