Global Index,Reality,OS,SS
0,0,0.5085217675466666,0.5677723034
1,0,0.4769005395034966,0.4884936530275858
2,0,0.5092616150975605,0.5079077959790935
3,0,0.505431223956044,0.5432082679120879
4,0,0.4800220754966884,0.4903673741523179
5,0,0.5758711924761906,0.6038498882857141
6,0,0.5724391608731342,0.5855291974999994
7,0,0.5283177777987014,0.5304006177124182
8,0,0.4700988000307023,0.493256842671637
9,0,0.5397249584492386,0.5574791310075945
10,0,0.49379790738461526,0.5248491033432837
11,0,0.5025315008303572,0.5070964181785713
12,0,0.5103214384819155,0.5568261015401068
13,0,0.5053239802012195,0.5158316170426834
14,0,0.5137128034768906,0.5486765732463161
15,0,0.5210093489787646,0.5476169188038461
16,0,0.5026688165682078,0.475681979836
17,0,0.47244184709160286,0.5329396198484847
18,0,0.49770962547979786,0.5414642622474748
19,0,0.4351522642757935,0.5021118094087299
20,0,0.4885409615047171,0.5298925415118483
21,0,0.4734298211901232,0.530645254130435
22,0,0.5046139208915668,0.5268669344910181
23,0,0.5130367786666672,0.48736754618784517
24,0,0.4725989237931034,0.44715497094252876
25,0,0.5025006258894544,0.5564137738175184
26,0,0.5107396485299683,0.5537454608201892
27,0,0.47682805819075147,0.5489752394825582
28,0,0.43476199359203976,0.5489466261600002
29,0,0.442087959608654,0.5295246546730769
30,0,0.521079063397436,0.5663566434615392
31,0,0.5690574598326363,0.5732784759411764
32,0,0.43315628069074896,0.4582174190969162
33,0,0.5371218193181818,0.5956059891954023
34,0,0.4904178729444444,0.48291416167597806
35,0,0.49991049508496727,0.5135748080263158
36,0,0.49372376893805325,0.4804553763539821
37,0,0.4797749666835442,0.5316414456666664
38,0,0.3842108100740742,0.5081834752101854
39,0,0.4963091428721804,0.4562728310375941
40,0,0.44671272096610176,0.44192589864406767
41,0,0.5209256198882684,0.5575510675469615
42,0,0.5126660292941178,0.5792021467973857
43,0,0.5121318981472394,0.48352245496932517
44,0,0.49639782232786905,0.5477389161475411
45,0,0.5123776584300002,0.5928560163636365
46,0,0.4272228090195874,0.513783430947423
47,0,0.5083522704444446,0.5337040263259262
48,0,0.45412803800000007,0.495959854
49,0,0.48174513979952394,0.4677455452701419
50,0,0.5034815946828194,0.5282616239867839
51,0,0.4253122065428572,0.4905562876436781
52,0,0.5307356022872929,0.5061221387127072
53,0,0.40599693645727275,0.5077896475063635
54,0,0.4723985102232146,0.5160758799955357
55,0,0.42582166837060215,0.4797383023368675
56,0,0.5257780050000004,0.5275480838929684
57,0,0.5057158152537539,0.5540467027927931
58,0,0.5603846259323575,0.5706859306410259
59,0,0.5322957315791959,0.5299319539336492
60,0,0.5870314387388236,0.6042695751999999
61,0,0.528263615643617,0.5321379394613333
62,0,0.5481415797250602,0.6150349864390238
63,0,0.4841352683355635,0.48606399698274644
64,0,0.517876378159722,0.5209101624041806
65,0,0.5223183211658032,0.555022715440104
66,0,0.46722482711724117,0.5301644000624999
67,0,0.5049070210930232,0.4756141017616276
68,0,0.47869208656357143,0.46859025401071436
69,0,0.4985916171612904,0.553861309974026
70,0,0.5138776834829932,0.6362815123287671
71,0,0.524826585454321,0.5263902492335405
72,0,0.5816426334285718,0.5751133258917751
73,0,0.5497558522378854,0.5379797797149124
74,0,0.5259217713888886,0.5702542079999998
75,0,0.5748400689757783,0.5707258272110725
76,0,0.5284935571499999,0.5421359957857144
