Global Index,vs. Reality,EyeCon,Familiar,DevScore,OS,SS,OSg,SSg,OSf,SSf
6,1,true,true,18,0.08123191,0.07905684,0.2506319,0.07905684,0.08123191,1.0000001
6,2,true,true,18,0.2506319,0.16121365,0.22643125,0.16121365,0.2506319,0.2506319
6,3,true,true,18,0.2506319,1.0000001,0.10972335,0.3466049,0.16842666,0.293204
6,4,true,true,18,0.22643125,0.3466049,1.0000002,0.16494587,0.15837274,0.19342917
6,5,true,true,18,0.10972335,0.16494587,0.12494356,0.16842666,0.34140527,0.56936455
6,6,true,true,18,0.16842666,0.2506319,0.1731556,0.12494356,0.19637388,0.53238046
6,7,true,true,18,1.0000002,0.16842666,0.18661544,0.3482766,0.5636081,0.08445303
6,8,true,true,18,0.12494356,0.12494356,0.66893494,0.09228516,0.049048718,0.12781286
6,9,true,true,18,0.15837274,0.293204,0.085029505,0.18427056,0.45635527,0.19737798
6,10,true,true,18,0.1731556,0.3482766,0.8381369,0.082847506,0.19737798,0.13126895
7,1,true,true,69,0.058323156,0.28329122,0.26230124,0.28329122,0.058323156,0.19999
7,2,true,true,69,0.26230124,0.2619191,0.22548525,0.2619191,0.15265724,0.105685934
7,3,true,true,69,0.22548525,0.19404863,0.09384686,0.19404863,0.6807846,0.33426932
7,4,true,true,69,0.09384686,0.19999,0.1115129,0.4934426,0.1833246,0.13916454
7,5,true,true,69,0.15265724,0.4934426,0.105685934,0.1115129,0.03628946,0.23513192
7,6,true,true,69,0.1115129,0.105685934,0.27095878,0.100974225,0.14605117,0.1600194
7,7,true,true,69,0.6807846,0.1115129,0.42521262,0.17744127,0.4763832,0.1600194
7,8,true,true,69,0.105685934,0.100974225,0.12859271,0.15568273,0.17865588,1.0000001
7,9,true,true,69,0.27095878,0.33426932,0.09406776,0.04339047,0.1490829,0.2703125
7,10,true,true,69,0.1833246,0.13916454,0.5484046,0.2923932,0.36792693,0.23189135
8,1,false,false,51,0.06836956,0.085877426,0.22643125,0.085877426,0.06836956,0.22643125
8,2,false,false,51,0.22643125,0.08477511,0.1739529,0.08477511,0.15968387,0.12317476
8,3,false,false,51,0.1739529,0.15968387,0.04791145,0.15968387,0.3185585,0.16197175
8,4,false,false,51,0.15968387,0.22643125,0.17106625,0.47944412,0.4983902,0.6950845
8,5,false,false,51,0.04791145,0.47944412,0.16223216,0.017897446,0.7050829,0.0035782922
8,6,false,false,51,0.3185585,0.12317476,0.21068145,0.29273576,0.28104395,0.029219389
8,7,false,false,51,0.17106625,0.017897446,0.20768735,0.23697758,0.08917891,0.4117645
8,8,false,false,51,0.16223216,0.29273576,0.58000076,0.011294197,0.62879187,0.5079595
8,9,false,false,51,0.21068145,0.23697758,0.08548318,0.6936705,0.6200898,0.30389926
8,10,false,false,51,0.20768735,0.011294197,0.35672784,0.07466082,0.16066211,0.13258544
9,1,false,false,90,0.055550132,0.09142774,0.16468842,0.09142774,0.055550132,0.15613729
9,2,false,false,90,0.2615869,0.17446232,0.28646046,0.17446232,0.2615869,0.14017715
9,3,false,false,90,0.16468842,0.15613729,0.21545945,0.10370797,0.18626446,0.15599173
9,4,false,false,90,0.28646046,0.10370797,0.10941805,0.22448009,0.6726862,0.22860932
9,5,false,false,90,0.18626446,0.22448009,0.16046502,0.12854375,0.19258887,0.16116358
9,6,false,false,90,0.21545945,0.14017715,0.18175474,0.16109781,0.21822324,0.0967161
9,7,false,false,90,0.10941805,0.12854375,0.13036716,0.1820431,0.1837767,0.05995516
9,8,false,false,90,0.6726862,0.16109781,0.3690142,0.567657,0.06203133,0.06716935
9,9,false,false,90,0.19258887,0.15599173,0.30874366,0.087904945,0.16291583,0.29647186
9,10,false,false,90,0.21822324,0.22860932,0.06446949,0.37645996,0.3880133,0.4423195
10,1,true,false,44,1.0000002,0.25512022,1.0000002,0.25512022,0.5220896,0.19471076
10,2,true,false,44,0.25512022,0.19471076,0.25512022,0.18904889,0.22453085,0.17769912
10,3,true,false,44,0.5220896,0.18904889,0.26662332,0.12825999,0.13896923,0.14066648
10,4,true,false,44,0.26662332,0.17769912,0.10494331,0.14792721,0.22643125,0.19243875
10,5,true,false,44,0.22453085,0.14066648,0.21801122,0.09994,0.1654925,0.32593903
10,6,true,false,44,0.13896923,0.12825999,0.12675035,0.123068154,0.20941378,0.14081183
10,7,true,false,44,0.10494331,0.19243875,0.53363514,0.18464887,0.079171196,0.7376282
10,8,true,false,44,0.22643125,0.14792721,0.2321971,0.08089585,0.090387106,0.1648706
10,9,true,false,44,0.21801122,0.32593903,0.3703643,0.108588934,0.45128956,0.15567753
10,10,true,false,44,0.1654925,0.14081183,0.0918555,0.13246101,0.13035583,0.25222188
11,1,true,false,104,0.1288611,0.262465,0.11253536,0.262465,0.1288611,0.34765077
11,2,true,false,104,0.11253536,0.30440068,0.080251604,0.30440068,0.32951963,0.05761911
11,3,true,false,104,0.32951963,0.34765077,0.3834831,0.13622257,0.4392633,0.08538675
11,4,true,false,104,0.4392633,0.05761911,0.1633819,0.053127237,0.054790974,0.20940965
11,5,true,false,104,0.080251604,0.13622257,0.19973873,0.5804055,0.14467633,0.11801231
11,6,true,false,104,0.3834831,0.053127237,0.08291684,0.20120978,0.314295,0.16842528
11,7,true,false,104,0.054790974,0.08538675,0.27984563,0.10141927,0.13038556,0.28590155
11,8,true,false,104,0.1633819,0.5804055,0.06788881,0.050659426,0.51090837,0.28590155
11,9,true,false,104,0.19973873,0.20120978,0.53302026,0.05583402,0.20795366,0.10075182
11,10,true,false,104,0.08291684,0.10141927,0.17282265,0.29541808,0.24723664,0.10075182
12,1,false,false,41,0.10438923,0.38858134,0.11260086,0.38858134,0.10438923,1.0
12,2,false,false,41,0.11260086,1.0,0.32867694,0.15491772,0.11260086,0.32867694
12,3,false,false,41,0.11260086,0.15491772,0.17260864,0.21366066,0.21366066,0.25500032
12,4,false,false,41,0.32867694,0.21366066,0.13117915,0.5646632,0.30094165,0.14982346
12,5,false,false,41,0.17260864,0.32867694,0.43648398,0.25903466,0.27597982,0.13949406
12,6,false,false,41,0.21366066,0.5646632,0.09747751,0.23968543,0.17297739,0.18693854
12,7,false,false,41,0.13117915,0.25500032,0.38955295,0.18704739,0.3970342,0.16492876
12,8,false,false,41,0.30094165,0.25903466,0.60263634,0.25906497,0.46568847,0.18693852
12,9,false,false,41,0.43648398,0.14982346,0.19684222,0.11459079,0.2832532,0.13726227
12,10,false,false,41,0.27597982,0.23968543,0.18931119,0.16177407,0.1561366,0.13726227
13,1,false,false,99,0.51084185,0.13684969,0.19449484,0.13684969,0.51084185,0.06278674
13,2,false,false,99,0.19449484,0.20609522,0.13851744,0.20609522,0.66126215,0.10947088
13,3,false,false,99,0.66126215,0.06278674,0.12837106,0.17954776,0.20415565,0.21430331
13,4,false,false,99,0.13851744,0.17954776,0.31650925,0.19597358,0.30313838,0.31650925
13,5,false,false,99,0.20415565,0.10947088,0.046266645,0.14242902,0.3466049,0.20711344
13,6,false,false,99,0.12837106,0.19597358,0.36897755,0.093658015,0.22473669,0.09913127
13,7,false,false,99,0.30313838,0.21430331,0.22912958,0.048782032,0.08975606,0.09786677
13,8,false,false,99,0.31650925,0.14242902,0.08975606,0.41138816,0.293204,0.3344896
13,9,false,false,99,0.046266645,0.093658015,0.5903245,1.0000002,0.2261968,0.20737174
13,10,false,false,99,0.36897755,0.048782032,0.093349986,0.16159745,0.16202305,0.23628688
14,1,true,false,20,0.28264037,0.25471735,0.43013522,0.25471735,0.28264037,0.20415565
14,2,true,false,20,0.43013522,0.567657,0.30197042,0.567657,0.24366564,0.075806126
14,3,true,false,20,0.30197042,0.13563418,0.2670551,0.13563418,0.87687063,0.31234324
14,4,true,false,20,0.2670551,0.20415565,0.06465538,0.1375306,0.5003257,0.6415026
14,5,true,false,20,0.24366564,0.1375306,0.15311289,0.112198554,0.28701434,0.49186188
14,6,true,false,20,0.06465538,0.075806126,0.60986066,0.13824505,0.15038165,0.6084948
14,7,true,false,20,0.87687063,0.112198554,0.12205838,0.13824505,0.60305715,0.1638815
14,8,true,false,20,0.15311289,0.13824505,0.588514,0.0849479,0.084889136,0.17804112
14,9,true,false,20,0.60986066,0.31234324,0.12205838,0.0849479,0.16911434,0.06964746
14,10,true,false,20,0.5003257,0.13824505,0.34037727,0.20749116,0.13060792,0.22643125
15,1,true,false,19,0.16915669,0.21630108,0.16308856,0.21630108,0.16915669,0.10982219
15,2,true,false,19,0.14738625,0.09631954,0.3466049,0.09631954,0.14738625,0.18336809
15,3,true,false,19,0.16308856,0.10982219,0.16653046,0.07196608,0.53634524,0.22643125
15,4,true,false,19,0.53634524,0.07196608,0.12575315,0.29933086,0.114415705,1.0000001
15,5,true,false,19,0.3466049,0.18336809,0.121966295,0.07433748,0.12575315,1.0000001
15,6,true,false,19,0.16653046,0.29933086,0.16317,0.49298933,0.121966295,0.21430331
15,7,true,false,19,0.114415705,0.07433748,0.1823727,0.2357217,0.22359481,0.21430331
15,8,true,false,19,0.12575315,0.22643125,0.016369715,0.100172155,0.17842059,1.0000001
15,9,true,false,19,0.12575315,0.49298933,0.14141585,0.13907212,0.14141585,0.11948734
15,10,true,false,19,0.121966295,1.0000001,0.16822472,0.3011011,0.28747064,0.6795537
16,1,false,true,105,0.17782876,0.10631724,0.30075425,0.10631724,0.17782876,0.24569301
16,2,false,true,105,0.30075425,0.10631724,0.17613737,0.10631724,0.36888567,0.14314862
16,3,false,true,105,0.17613737,0.1577061,0.1824172,0.1577061,0.19505617,0.19539984
16,4,false,true,105,0.1824172,0.22909561,0.35769448,0.22909561,0.1653631,0.35769123
16,5,false,true,105,0.36888567,0.34663376,0.12472417,0.34663376,0.5881884,0.16978484
16,6,false,true,105,0.35769448,0.13830864,0.16675302,0.13830864,0.15888016,0.80861783
16,7,false,true,105,0.12472417,0.24569301,0.19539984,0.5726487,0.7254112,0.522326
16,8,false,true,105,0.16675302,0.5726487,0.19830222,0.61428773,0.47921598,0.17765155
16,9,false,true,105,0.19505617,0.61428773,0.14769033,0.1634663,0.2572903,0.2572903
16,10,false,true,105,0.1653631,0.1634663,0.13870272,0.19505617,0.19438256,0.1322668
17,1,false,true,114,0.10264824,0.1861567,0.185882,0.1861567,0.10264824,1.0
