Global Index,vs. Reality,EyeCon,Familiar,DevScore,OS,SS,OSg,SSg,OSf,SSf
0,1,false,true,78,0.10020226,0.1643582,0.091286495,0.1643582,0.10020226,0.045068163
0,2,false,true,78,0.091286495,0.42595172,0.16766056,0.42595172,0.53826857,0.16910242
0,3,false,true,78,0.53826857,0.045068163,0.52,0.13074052,0.15426199,0.24829176
0,4,false,true,78,0.16766056,0.13074052,0.57718986,0.13811824,0.08531749,0.18364209
0,5,false,true,78,0.52,0.13811824,0.10170125,0.07209468,0.70381093,0.18364209
0,6,false,true,78,0.15426199,0.16910242,0.078877725,0.10768865,0.09509297,0.2142537
0,7,false,true,78,0.57718986,0.07209468,0.36739513,0.4486917,0.072601125,0.2142537
0,8,false,true,78,0.10170125,0.10768865,0.2951734,0.37225527,0.10794828,1.0000001
0,9,false,true,78,0.08531749,0.24829176,0.24966697,0.7513423,0.07510341,0.2142537
0,10,false,true,78,0.078877725,0.4486917,0.33553165,0.1855543,0.04371981,0.2142537
1,1,false,true,204,0.18463239,0.13949212,0.3130846,0.13949212,0.18463239,0.27040264
1,2,false,true,204,0.3130846,0.13949212,0.07016491,0.13949212,0.12979919,0.5450747
1,3,false,true,204,0.12979919,0.18127745,0.15109088,0.18127745,0.15109088,0.15109088
1,4,false,true,204,0.07016491,0.11093634,0.4063645,0.11093634,0.06233357,0.10628322
1,5,false,true,204,0.15109088,0.27040264,0.5365963,0.2745266,0.28613225,0.17171276
1,6,false,true,204,0.15109088,0.2745266,0.13605501,1.0000001,0.17152745,0.24790405
1,7,false,true,204,0.4063645,0.5450747,0.20203292,0.06233357,0.30400932,0.06945808
1,8,false,true,204,0.06233357,1.0000001,0.26828748,0.14085934,0.07866351,0.12951899
1,9,false,true,204,0.28613225,0.06233357,0.15969,0.10965469,0.50405926,0.16003194
1,10,false,true,204,0.5365963,0.15109088,0.2565395,0.13660467,0.116996855,0.16003194
2,1,true,true,40,0.13343138,0.12926966,0.46947753,0.12926966,0.13343138,0.2419663
2,2,true,true,40,0.46947753,0.08030806,0.35186216,0.08030806,0.5522673,0.21941802
