Global Index,vs. Reality,EyeCon,Familiar,DevScore,OS,SS,OSg,SSg,OSf,SSf
0,1,false,true,78,0.3742928,0.36211175,0.18719588,0.36211175,0.3742928,0.4739813
0,2,false,true,78,0.18719588,0.37892002,0.4526676,0.37892002,0.6068641,0.43999118
0,3,false,true,78,0.6068641,0.4739813,0.57211566,0.13593744,0.15702087,0.8594803
0,4,false,true,78,0.4526676,0.13593744,0.99136233,0.1476811,0.47529596,0.6038312
0,5,false,true,78,0.57211566,0.1476811,0.45515126,0.15529019,0.8543513,0.6038312
0,6,false,true,78,0.15702087,0.43999118,0.5076442,0.4606936,0.41569608,0.86614215
0,7,false,true,78,0.99136233,0.15529019,0.69363976,0.59277654,0.3771348,0.86614215
0,8,false,true,78,0.45515126,0.4606936,0.689986,0.6394192,0.432396,1.0000001
0,9,false,true,78,0.47529596,0.8594803,0.45043144,0.95957744,0.487509,0.86614215
0,10,false,true,78,0.5076442,0.59277654,0.6863478,0.36621338,0.4333154,0.86614215
1,1,false,true,204,0.114753425,0.56200886,0.60132563,0.56200886,0.114753425,0.21834388
1,2,false,true,204,0.60132563,0.56200886,0.35603523,0.56200886,0.29701352,0.5283176
1,3,false,true,204,0.29701352,-0.042214062,0.65801126,-0.042214062,0.65801126,0.65801126
1,4,false,true,204,0.35603523,-0.02468006,0.49758613,-0.02468006,0.5497844,0.39493144
1,5,false,true,204,0.65801126,0.21834388,0.56881785,0.80907637,0.43768543,0.39688027
1,6,false,true,204,0.65801126,0.80907637,0.36925927,1.0000001,0.41876563,0.9206951
1,7,false,true,204,0.49758613,0.5283176,0.28125817,0.5497844,0.9196905,0.39691678
1,8,false,true,204,0.5497844,1.0000001,0.93450975,0.46627337,0.36154345,0.36322573
1,9,false,true,204,0.43768543,0.5497844,0.366691,0.55791163,0.92668366,0.4134267
1,10,false,true,204,0.56881785,0.65801126,0.31140727,0.40523183,0.40133548,0.4134267
2,1,true,true,40,0.28666604,0.2775367,0.9765276,0.2775367,0.28666604,0.36822093
2,2,true,true,40,0.9765276,0.29687762,0.8746135,0.29687762,0.41425803,0.31470537
2,3,true,true,40,0.8746135,0.87674284,0.10816601,0.87674284,0.31787822,0.27749425
2,4,true,true,40,0.10816601,0.18552803,0.3972358,0.18552803,0.27624413,0.10501782
2,5,true,true,40,0.41425803,0.36822093,0.6252427,0.10829456,0.8302836,0.26899463
2,6,true,true,40,0.3972358,0.10829456,0.15169291,0.24625614,0.6316624,0.7091112
2,7,true,true,40,0.6252427,0.24625614,0.23393878,0.47362956,0.97310126,0.20443243
2,8,true,true,40,0.31787822,0.31470537,0.97300637,0.08829777,0.22557446,0.35689014
2,9,true,true,40,0.15169291,0.47362956,0.118990704,0.19936103,0.31889975,0.3538291
2,10,true,true,40,0.27624413,0.27749425,0.28875408,0.1347105,0.92765695,0.2150091
3,1,true,true,53,0.3927493,0.27583572,0.41187283,0.27583572,0.3927493,0.41385812
3,2,true,true,53,0.41187283,0.32449088,0.4524176,0.32449088,0.96412885,0.95210636
